#;755,90;805,180;;790,180;760,250;710,300;660,350;615,405;515,405;410,485;375,585;390,655;330,645;215,660;100,755;;;;;;$
#;755,75;795,170;;;770,240;720,290;670,340;625,400;525,400;415,475;375,575;385,650;345,640;225,650;120,740;105,760;;;;;$
#;760,60;785,160;;;780,230;730,280;680,330;635,390;540,400;415,460;380,565;380,640;360,635;235,640;140,725;135,770;;;;$
#;760,45;775,150;;;785,220;740,270;690,320;645,380;555,400;420,445;385,555;380,630;370,620;245,630;160,710;155,780;;;;185,765;$
#;765,30;765,140;;;790,210;750,260;700,310;655,370;570,405;425,430;385,545;380,620;370,610;255,620;180,695;155,710;;;;$
#;765,15;760,130;;;790,200;760,250;710,300;660,360;585,405;445,425;385,535;375,610;370,600;265,610;200,680;;;;$
#;825,75;825,165;;890,215;945,300;930,365;830,450;745,560;670,645;;675,585;;740,555;745,415;700,320;;;;;;;;705,310;665,365;590,430;550,460;;650,380;720,325;700,320;;
#;820,60;810,150;815,155;880,205;945,285;945,380;855,475;765,580;685,660;;675,580;;730,560;735,420;725,330;;;;;;;;;;;;705,325;680,335;705,315;725,330;;
#;820,45;820,130;805,140;870,195;935,275;950,350;855,450;785,600;700,675;710,660;680,570;;750,560;755,420;750,315;;;;;;;;;;;;690,330;665,355;715,315;750,315;;
545,645;;;;;;;;580,650;640,645;;705,605;695,655;735,575;790,500;720,610;495,665;360,645;220,680;185,690;135,770;;;;;185,720;315,685;435,605;625,465;715,375;785,320;;
535,630;;;;;;;;575,665;650,660;;695,575;695,630;720,590;770,500;735,585;500,675;380,660;200,660;205,700;140,770;;;;;175,725;295,700;420,615;600,515;700,380;750,355;770,330;
530,655;;;;;;;;560,655;660,670;;670,645;555,655;750,580;745,430;740,390;695,630;470,655;285,665;200,680;130,780;;;;;155,725;245,690;380,635;560,530;675,425;725,350;;
510,655;;;;;;;;555,660;635,655;;680,655;600,675;730,545;760,430;735,400;660,650;495,665;300,675;205,685;155,765;;;;;135,735;235,695;370,650;540,550;650,420;740,350;;
505,640;;;;;;;;600,665;660,665;;575,655;440,650;390,645;345,640;285,665;240,695;;;;200,755;;;;;;;;;;;;
520,635;;;;;;;;555,650;665,670;;560,665;435,655;380,660;340,655;300,670;240,685;;;;200,745;;;;;;;;;;;;
435,780;;;;;;;;;;;410,755;340,735;;;210,800;70,785;85,775;70,785;85,775;85,760;100,760;;160,715;;;;;;;;;
460,795;;;;;;;;;;;395,780;330,740;;;220,795;80,790;;;;90,770;;95,765;;;;;;;;;;
480,775;;;;;;;;;;510,755;470,730;440,665;;;240,775;95,790;;;;100,775;;;;;;;;;;;;
445,755;;;;;;;;;;;450,730;415,680;385,695;330,690;185,805;110,795;;;;105,775;125,740;;;;;;;;;;;
470,750;;;;;;;;;;;410,740;380,730;;;175,810;120,800;120,780;120,800;120,780;120,780;;;;;;;;;;;;
430,705;;;;;;;;;;495,690;;430,660;;;150,810;130,805;;;;115,775;;160,785;;;;;;;;;;
450,700;;;;;;;;;;475,700;;425,665;;;120,810;140,810;;;;90,780;105,770;;;;;;;;;;;
430,685;;;;;;;;;;;;470,670;;;130,825;150,805;145,795;150,805;145,795;105,785;115,770;;150,725;;;;;;;;;
455,680;;;;;;;;;;;;415,675;;375,665;305,775;160,815;;;;125,780;120,770;;;;;;;;;;;
445,670;;;;;;;;;;;;420,675;;;280,735;175,810;170,800;175,810;170,800;145,705;;;;;;;;;;;;
390,775;;;;;;;;;;380,730;;;;;210,775;220,800;190,800;;;170,735;;;;;;;;;;;;
360,770;;;;;;;;;;370,725;;;;;155,820;115,815;;;;165,745;185,755;;;;;;;;;;;
350,760;;;;;;;;;;350,730;;;;;120,815;145,825;;;;165,755;;;200,690;;;;;;;;;
375,760;;;;;;;;;;340,740;;;;320,710;135,825;80,795;;;;165,765;;;190,680;;;;;;;;;
365,745;;;;;;;;;;360,750;375,730;;315,710;315,685;175,800;150,835;150,810;;;175,780;;;;;;;;;;;;
385,745;;;;;;;;;;380,750;365,730;;330,700;335,680;150,805;125,825;120,805;;;180,790;190,780;;;;;;;;;;;
